device_code,source,price,unit,url,scraped_at
DC-DISCONNECT-4P,HomePro,149.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%8A%E0%B9%8C%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%9F%20DC%204P,2026-01-27
SPD-DC-TYPE2,HomePro,239.0,set,https://www.homepro.co.th/search?q=SPD%20DC%20Type%20II,2026-01-27
SPD-AC-TYPE2,HomePro,95.0,set,https://www.homepro.co.th/search?q=SPD%20AC%20Type%20II,2026-01-27
CABLE-DC-4MM,HomePro,22.0,set,https://www.homepro.co.th/search?q=PV%20cable%204mm,2026-01-27
CABLE-DC-6MM,HomePro,229.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%20DC%206mm%20solar,2026-01-27
MC4-PAIR,HomePro,39.0,set,https://www.homepro.co.th/search?q=MC4%20connector%20pair,2026-01-27
EV-CHARGER-7KW,HomePro,9500.0,set,https://www.homepro.co.th/search?q=EV%20charger%207kW,2026-01-27
EV-CHARGER-11KW,HomePro,9500.0,set,https://www.homepro.co.th/search?q=EV%20charger%2011kW,2026-01-27
EV-CHARGER-22KW,HomePro,9500.0,set,https://www.homepro.co.th/search?q=EV%20charger%2022kW,2026-01-27
CONSUMER-UNIT-12,HomePro,935.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%2012%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
CONSUMER-UNIT-18,HomePro,225.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%2018%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
CONSUMER-UNIT-24,HomePro,890.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%2024%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
CU-3P-12WAY,HomePro,935.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%203%20%E0%B9%80%E0%B8%9F%E0%B8%AA%2012%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
CU-3P-18WAY,HomePro,1155.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%203%20%E0%B9%80%E0%B8%9F%E0%B8%AA%2018%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
CU-3P-24WAY,HomePro,815.0,set,https://www.homepro.co.th/search?q=%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%8B%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%203%20%E0%B9%80%E0%B8%9F%E0%B8%AA%2024%20%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,2026-01-27
COMP-GROUND-ROD,HomePro,129.0,set,https://www.homepro.co.th/search?q=%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B8%99%202.4%20%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%A3,2026-01-27
WIRE-GROUND-10,HomePro,473.0,set,https://www.homepro.co.th/search?q=ground%20wire%2010,2026-01-27
WIRE-GROUND-16,HomePro,45.0,set,https://www.homepro.co.th/search?q=%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B4%E0%B8%99%2016%20sq.mm,2026-01-27
CONDUIT-EMT-1,HomePro,59.0,set,https://www.homepro.co.th/search?q=%E0%B8%97%E0%B9%88%E0%B8%AD%20EMT%201%20%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7,2026-01-27
